sample	species	strain
GCF_000196035.1	L. monocytogenes	EGD-e
GCF_000008285.1	L. monocytogenes	F2365
GCF_000438585.1	L. monocytogenes	R2-502
GCF_000438605.1	L. monocytogenes	C1-387
GCF_000438625.1	L. monocytogenes	J2-064
GCF_000438645.1	L. monocytogenes	J2-031
GCF_028596125.1	L. innocua	ATCC 33090
GCF_004636605.1	L. innocua	2010L-1951
GCF_004636665.1	L. innocua	F6217
GCF_004636745.1	L. innocua	2015L-6726
GCF_037062565.1	L. ivanovii	L195
GCF_040235225.1	L. ivanovii	1-1
GCF_041222735.1	L. ivanovii	F5999
GCF_041222755.1	L. ivanovii	ATCC 19119
GCF_015697685.1	L. seeligeri	Sr73
GCF_037056055.1	L. seeligeri	L140
GCF_037063765.1	L. seeligeri	L182
GCF_039556175.1	L. seeligeri	43-1
GCF_900187315.1	L. welshimeri	NCTC11857
GCF_040235215.1	L. welshimeri	4-43
GCF_045689465.1	L. welshimeri	DSM 20650 V8
GCF_000060285.1	L. welshimeri	SLCC5334
